Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"KAK (EVI)+, (MAK (EVI)-) +2.0 years, (WAJ (EVI)-) +2.0 years, (NRB (EVI)+) +2.0 years",0.143,0.119,8.567,5.942,2,2.525
"KAK (EVI)+, (NRB (EVI)+) +3.0 years",0.368,0.277,7.243,4.929,1,3.427
"KAK (EVI)-, (NRB (EVI)+) +3.0 years",0.632,0.474,6.858,4.361,1,3.032
"KAK (EVI)+, (MAK (EVI)+) +3.0 years",0.553,0.415,6.181,3.949,1,2.555
"KAK (EVI)+, (MAK (EVI)-) +3.0 years",0.447,0.336,8.012,5.082,1,2.573
"KAK (EVI)+, (WAJ (EVI)+) +3.0 years",0.474,0.356,6.478,4.143,1,2.285
"KAK (EVI)+, (WAJ (EVI)-) +3.0 years",0.526,0.395,7.47,4.898,1,2.304
"KAK (EVI)+, (NRB (EVI)+) +3.0 years, (MAK (EVI)+) +3.0 years",0.211,0.158,6.175,4.006,1,3.547
"KAK (EVI)+, (NRB (EVI)+) +3.0 years, (MAK (EVI)-) +3.0 years",0.158,0.119,8.667,5.635,2,2.191
"KAK (EVI)+, (NRB (EVI)+) +3.0 years, (WAJ (EVI)+) +3.0 years",0.153,0.115,6.931,4.299,2,2.858
"KAK (EVI)+, (NRB (EVI)+) +3.0 years, (WAJ (EVI)-) +3.0 years",0.216,0.162,7.463,5.32,1,2.849
"KAK (EVI)+, (MAK (EVI)+) +3.0 years, (WAJ (EVI)+) +3.0 years",0.268,0.202,6.588,4.064,1,2.644
"KAK (EVI)+, (MAK (EVI)+) +3.0 years, (WAJ (EVI)-) +3.0 years",0.284,0.213,5.796,3.798,1,2.545
"KAK (EVI)+, (WAJ (EVI)+) +3.0 years, (MAK (EVI)-) +3.0 years",0.205,0.154,6.333,4.239,1,1.916
"KAK (EVI)+, (MAK (EVI)-) +3.0 years, (WAJ (EVI)-) +3.0 years",0.242,0.182,9.435,5.298,1,2.478
"KAK (EVI)+, (WAJ (EVI)-) +3.0 years, (NRB (EVI)+) +3.0 years, (MAK (EVI)+) +3.0 years",0.121,0.091,5.348,3.631,1,3.0
"KAK (EVI)+, (NRB (EVI)+) +4.0 years",0.386,0.261,6.379,4.093,1,2.609
"KAK (EVI)-, (NRB (EVI)+) +4.0 years",0.614,0.415,6.848,4.489,1,2.803
"KAK (EVI)+, (MAK (EVI)+) +4.0 years",0.515,0.348,6.216,3.889,1,2.78
"KAK (EVI)+, (MAK (EVI)-) +4.0 years",0.485,0.328,7.145,4.737,1,2.759
"KAK (EVI)+, (WAJ (EVI)+) +4.0 years",0.532,0.36,6.176,3.921,1,2.559
"KAK (EVI)+, (WAJ (EVI)-) +4.0 years",0.468,0.316,7.225,4.722,1,2.481
"KAK (EVI)+, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years",0.228,0.154,6.359,3.84,1,2.737
"KAK (EVI)+, (NRB (EVI)+) +4.0 years, (MAK (EVI)-) +4.0 years",0.158,0.107,6.407,4.433,1,1.8
"KAK (EVI)+, (NRB (EVI)+) +4.0 years, (WAJ (EVI)+) +4.0 years",0.205,0.138,6.486,3.675,1,2.157
"KAK (EVI)+, (NRB (EVI)+) +4.0 years, (WAJ (EVI)-) +4.0 years",0.181,0.123,6.258,4.515,1,2.401
"KAK (EVI)+, (MAK (EVI)+) +4.0 years, (WAJ (EVI)+) +4.0 years",0.263,0.178,6.444,3.958,1,2.487
"KAK (EVI)+, (MAK (EVI)+) +4.0 years, (WAJ (EVI)-) +4.0 years",0.251,0.17,5.977,3.8,1,2.54
"KAK (EVI)+, (WAJ (EVI)+) +4.0 years, (MAK (EVI)-) +4.0 years",0.269,0.182,5.913,3.866,1,2.239
"KAK (EVI)+, (MAK (EVI)-) +4.0 years, (WAJ (EVI)-) +4.0 years",0.216,0.146,8.676,5.246,1,2.918
"KAK (EVI)+, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years, (WAJ (EVI)+) +4.0 years",0.117,0.079,7.15,3.811,1,1.911
"KAK (EVI)+, (WAJ (EVI)-) +4.0 years, (NRB (EVI)+) +4.0 years, (MAK (EVI)+) +4.0 years",0.111,0.075,5.526,3.69,1,2.348
"KAK (EVI)+, (NRB (EVI)+) +5.0 years",0.418,0.253,6.25,3.824,1,2.7
"KAK (EVI)-, (NRB (EVI)+) +5.0 years",0.582,0.352,6.393,4.302,1,2.98
"KAK (EVI)+, (MAK (EVI)+) +5.0 years",0.444,0.269,6.309,3.82,1,3.146
"KAK (EVI)+, (MAK (EVI)-) +5.0 years",0.556,0.336,6.353,4.327,1,3.256
"KAK (EVI)+, (WAJ (EVI)+) +5.0 years",0.425,0.257,6.477,3.811,1,2.717
"KAK (EVI)+, (WAJ (EVI)-) +5.0 years",0.575,0.348,6.227,4.314,1,2.973
"KAK (EVI)+, (NRB (EVI)+) +5.0 years, (MAK (EVI)+) +5.0 years",0.209,0.126,6.594,3.596,1,2.03
"KAK (EVI)+, (NRB (EVI)+) +5.0 years, (MAK (EVI)-) +5.0 years",0.209,0.126,5.906,4.011,1,2.124
"KAK (EVI)+, (NRB (EVI)+) +5.0 years, (WAJ (EVI)+) +5.0 years",0.157,0.095,7.0,2.944,1,1.663
"KAK (EVI)+, (NRB (EVI)+) +5.0 years, (WAJ (EVI)-) +5.0 years",0.261,0.158,5.8,4.202,1,2.347
"KAK (EVI)+, (MAK (EVI)+) +5.0 years, (WAJ (EVI)+) +5.0 years",0.15,0.091,7.435,3.716,1,2.13
"KAK (EVI)+, (MAK (EVI)+) +5.0 years, (WAJ (EVI)-) +5.0 years",0.294,0.178,5.733,3.744,1,3.376
"KAK (EVI)+, (WAJ (EVI)+) +5.0 years, (MAK (EVI)-) +5.0 years",0.275,0.166,5.952,3.76,1,2.824
"KAK (EVI)+, (MAK (EVI)-) +5.0 years, (WAJ (EVI)-) +5.0 years",0.281,0.17,6.744,4.784,1,2.354
"KAK (EVI)+, (WAJ (EVI)-) +5.0 years, (NRB (EVI)+) +5.0 years, (MAK (EVI)+) +5.0 years",0.144,0.087,6.091,3.765,1,1.951
"KAK (EVI)+, (MAK (EVI)-) +5.0 years, (WAJ (EVI)-) +5.0 years, (NRB (EVI)+) +5.0 years",0.118,0.071,5.444,4.657,1,1.768
"KAK (EVI)+, (NRB (EVI)+) +6.0 years",0.544,0.292,6.122,3.89,1,3.322
"KAK (EVI)-, (NRB (EVI)+) +6.0 years",0.456,0.245,5.855,3.847,1,3.157
"KAK (EVI)+, (MAK (EVI)+) +6.0 years",0.485,0.261,6.076,4.072,1,3.215
"KAK (EVI)+, (MAK (EVI)-) +6.0 years",0.515,0.277,5.929,3.674,1,3.27
"KAK (EVI)+, (WAJ (EVI)+) +6.0 years",0.743,0.399,5.901,3.743,1,3.336
"KAK (EVI)+, (WAJ (EVI)-) +6.0 years",0.257,0.138,6.286,4.213,1,1.757
"KAK (EVI)+, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years",0.287,0.154,6.385,3.991,1,2.763
"KAK (EVI)+, (NRB (EVI)+) +6.0 years, (MAK (EVI)-) +6.0 years",0.257,0.138,5.829,3.753,1,2.785
"KAK (EVI)+, (NRB (EVI)+) +6.0 years, (WAJ (EVI)+) +6.0 years",0.36,0.194,6.041,3.44,1,3.004
"KAK (EVI)+, (NRB (EVI)+) +6.0 years, (WAJ (EVI)-) +6.0 years",0.184,0.099,6.28,4.643,1,1.706
"KAK (EVI)+, (MAK (EVI)+) +6.0 years, (WAJ (EVI)+) +6.0 years",0.316,0.17,6.302,4.084,1,3.377
"KAK (EVI)+, (MAK (EVI)+) +6.0 years, (WAJ (EVI)-) +6.0 years",0.169,0.091,5.652,4.017,2,1.391
"KAK (EVI)+, (WAJ (EVI)+) +6.0 years, (MAK (EVI)-) +6.0 years",0.426,0.229,5.603,3.439,1,3.232
"KAK (EVI)+, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years, (WAJ (EVI)+) +6.0 years",0.162,0.087,6.864,3.647,1,2.496
"KAK (EVI)+, (WAJ (EVI)-) +6.0 years, (NRB (EVI)+) +6.0 years, (MAK (EVI)+) +6.0 years",0.125,0.067,5.765,4.319,2,1.522
"KAK (EVI)+, (MAK (EVI)-) +6.0 years, (NRB (EVI)+) +6.0 years, (WAJ (EVI)+) +6.0 years",0.199,0.107,5.37,3.105,1,2.726
